HoldOutSet,TorH,Team,TeamVS,tAbrev,vsAbrev,tType,tTeamVS,gType,rec,hInd,smGrp,hNgrp,aNnon,recW,recL,recT,recWpct,recWpctXwk,ELO,ELOchgPct,ELO13pct,vsrecW,vsrecL,vsrecT,vsrecWpct,vsrecWpctXwk,vsELO,vsELOchgPct,vsELO13pct,week,lookup,Home,Road,line,linesag,linepfz,lineARGH,lineavg,linepig,linenutshell,lineexcel,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,lineesp2,linesagr,linesagpred,linepi,linemidweek,lineopen,linecurry,linemass,linekasulis,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemedian,linekerns,linejens,lineash,lineffw,lineburd,linedok,linepib,linejens2,lineclean,linewhatif,lineespn,linerwp,linedwig,linegt,lineexcel2,linelinx,linestjohn,lineppg,linel2to,lineherbert,linepr,lineiron,linekalin,linestd,rscore,hscore,actLine,tPts,vsPts,aLnDiff,aLnFlip,tCnt,hCnt,aCnt
0,T,Minnesota,San Francisco,MIN,SF,NN,NW,H,0-0,1,0,0,0,0,0,0,0,0,1602,0,1.2323,0,0,0,0,0,1469,0,1.13,1,1Minnesota,Minnesota,San Francisco,6,8.7,14.81,9,8.58,6,20,11,6.28,9.56,5.61,7.47,8.7,15.48,7,7,7,6,5.7,8.7,8.7,9.2,6.5,4.5,9.75,9.58,5.3,8.78,7.84,8.7,12.97,12.12,9.1,8.7,16.1,11.14,7,11,-4.8,3.15,9.1,3.76,7.5,5.6,7.3,15.46,6.65,5.5,15,7.31,6.7,4.53,12.28,-0.18,8.9,5.94,6.5,3.888012537,16,24,8,24,16,2,0,0,0,0
0,T,N.Y. Giants,Jacksonville,NYG,JAX,NE,AS,H,0-0,1,0,0,0,0,0,0,0,0,1412,0,1.0862,0,0,0,0,0,1535,0,1.1808,1,1N.Y. Giants,N.Y. Giants,Jacksonville,-2.5,-0.68,-10.56,-1,-5.29,-1,-20,-4,1.39,-8.98,-7.78,-5.68,-0.68,-14.32,-13.5,-16.59,-9,-2.5,-2.3,-0.68,-0.68,-3.9,-3,-3.5,-11.22,-4.76,-1.6,-4.9,-0.65,-3.7,-6.36,-10.67,-0.4,-4,-12.3,-7.99,-3,-4,-10.5,0.01,-4.1,1.81,-3,-7.7,0.38,-10.67,-4.45,-1,-3,-1.55,-4.82,-8.52,-10.71,-4.89,-4,-2.27,-2.17,4.892617416,20,15,-5,15,20,-2.5,0,0,0,0
0,T,New England,Houston,NE,HOU,AE,AS,H,0-0,1,0,0,0,0,0,0,0,0,1651,0,1.27,0,0,0,0,0,1398,0,1.0754,1,1New England,New England,Houston,6.5,11.37,13.72,9,12.86,9,40,20,2.45,12.57,13.24,10.89,11.37,15.08,7,11.79,22,7.5,7.2,11.37,11.37,8.8,6,6.5,30.21,15.39,8.4,13.04,12.84,9.7,14.58,19.68,9.5,11.37,18,17.69,10,16,26.2,11.05,9.1,5.15,1.5,4.1,9.08,17.72,5.65,7.5,23,14.38,7.23,9.82,11.12,6.28,9.3,9.94,9.18,7.12546567,20,27,7,27,20,0.5,0,0,0,0
0,T,New Orleans,Tampa Bay,NO,TB,NS,NS,H,0-0,1,1,1,0,0,0,0,0,0,1584,0,1.2185,0,0,0,0,0,1469,0,1.13,1,1New Orleans,New Orleans,Tampa Bay,10,8.99,9.08,6,10.46,12,22,15,4.37,9.28,10.35,7.82,8.99,11.71,13.6,10.52,9,10,8.9,8.99,8.99,15.8,9.5,7,9.11,8.46,8.3,9.14,10.05,16.3,8.36,12.18,10,9.14,15.1,11.48,6,7,6.2,8.81,15.5,2.77,7.5,12.6,13.25,14.57,23.55,8.5,13,6.52,9.28,9.12,10.72,8.91,14.7,5.85,10.87,3.993154996,48,40,-8,40,48,-18,1,0,0,0
0,T,Oakland,LA Rams,OAK,LAR,AW,NW,H,0-0,1,0,0,0,0,0,0,0,0,1465,0,1.1269,0,0,0,0,0,1530,0,1.1769,1,1Oakland,Oakland,LA Rams,-4.5,-2.7,-6.15,2,-4.48,-2,-25,-12,6.89,-5.1,-2.21,-2.92,-2.7,-10.9,-15.17,-11.96,-5,-4.5,-3,-2.7,-2.7,-6.7,-4,-1,-5.86,-3.13,-1.9,-1.4,-1.55,-7.3,-4.81,-9.9,-1.1,-3.09,-12.1,-5.18,-2,-3,-7.2,-2.23,-6.9,-0.16,-1.5,-7.9,-0.75,-7.87,9,0.5,-17,-0.6,-4.41,-8.07,-5.44,-6.59,-7.9,-0.56,-1.17,5.723265282,33,13,-20,13,33,-15.5,0,0,0,0
0,T,Philadelphia,Atlanta,PHI,ATL,NE,NS,H,0-0,1,0,0,0,0,0,0,0,0,1647,0,1.2669,0,0,0,0,0,1601,0,1.2315,1,1Philadelphia,Philadelphia,Atlanta,0,4.94,6.63,4,5.79,6,8,8,4.92,7.26,4.13,6.22,4.94,7.38,7.32,9.31,7,1,3.8,4.94,4.94,0.6,1,4,10.57,5.18,5.1,6.51,5.05,1.4,4.86,8.82,4.5,5.18,5.6,7.92,5,4,9.8,7.76,-0.4,0.94,7.5,1.3,5.1,9.05,11.55,6,9,4.75,3.62,8.83,5.09,0.6,6.3,4.24,0.9,2.646399374,12,18,6,18,12,6,1,0,0,0
0,T,Washington,Arizona,WSH,ARI,NE,NW,A,0-0,0,0,0,1,0,0,0,0,0,1472,0,1.1323,0,0,0,0,0,1483,0,1.1408,1,1Arizona,Arizona,Washington,2,0.45,3.27,3,2.97,2,4,9,5.12,1.86,10.19,2.14,0.45,1.1,-0.23,5.01,4,2,2.1,0.45,0.45,4.3,1.5,0,8.77,1.78,4.3,4.18,0.75,4.3,-0.26,0.37,2.9,2.1,-0.8,5,1,3,9.9,-0.97,3.8,0.95,2,-4.1,2.57,1.77,18.1,-0.5,7,5.02,0.16,-0.94,-0.85,-0.28,0.6,2.77,2.02,3.640685822,24,6,-18,24,6,-20,1,0,0,0
0,T,Buffalo,Baltimore,BUF,BAL,AE,AN,A,0-0,0,0,0,1,0,0,0,0,0,1502,0,1.1554,0,0,0,0,0,1535,0,1.1808,1,1Baltimore,Baltimore,Buffalo,7.5,7.19,8.65,5,8,8,31,1,10.13,9.94,8.96,7.68,7.19,13.35,12.17,9.9,10,7.5,8.5,7.19,7.19,7.7,7.5,3.5,6.61,5.97,10,3.1,6.25,8.6,3.74,9.33,8.9,7.7,8.7,8.46,6,6,7.8,7.3,8.2,0.94,5,8.8,9.55,7.7,14.15,6,-6,2.49,7.51,8.75,10.99,8.79,10.5,5.27,5.84,4.713550837,3,47,44,3,47,36.5,0,0,0,0
0,T,Dallas,Carolina,DAL,CAR,NE,NS,A,0-0,0,0,0,1,0,0,0,0,0,1547,0,1.19,0,0,0,0,0,1550,0,1.1923,1,1Carolina,Carolina,Dallas,3,2.9,3.52,4,3.96,1,4,-2,10.88,3.29,7.11,3.18,2.9,8.08,6.36,0.48,2,3,4,2.9,2.9,4.7,2.5,2.5,2.19,3.1,5.1,4.27,4.74,4,9.29,4.69,3.9,3.5,4.2,6.66,3,2,1.7,0.96,5,0.87,3.5,1.9,4.26,6.32,13.15,3.5,-6,3.58,3.48,2.76,4.21,2.25,4.6,2.43,3.2,3.104407809,8,16,8,8,16,5,0,0,0,0
0,T,Pittsburgh,Cleveland,PIT,CLE,AN,AN,A,0-0,0,1,0,0,0,0,0,0,0,1596,0,1.2277,0,0,0,0,0,1302,0,1.0015,1,1Cleveland,Cleveland,Pittsburgh,-3.5,-9.03,-12.3,-7,-8.91,-6,-29,-18,3.43,-8.21,-7.48,-5.34,-9.03,-14.04,-10.17,-12.3,-8,-4.5,-4.1,-9.03,-9.03,-9.5,-3.5,-6.5,-15.61,-10.67,-4.2,-15.81,-9.36,-10.1,-7,-13.26,-4.4,-9.03,-13.2,-12.52,-6,-12,-4.3,-6.3,-9,-4.31,-3,-9.8,-5.62,-13.67,1.1,-4.5,-23,-13.69,-4.65,-8.26,-7.68,-1.49,-8.5,-3.47,-4.83,5.67365172,21,21,0,21,21,3.5,1,0,0,0
